aback,əˈbæk
awkwardly,ˈɔkwɝdɫi
awry,ɝˈaɪ
back,ˈbæk
backstage,ˈbækˈsteɪdʒ
backward,ˈbækwɝd
badly,ˈbædɫi
baldly,ˈbɔɫdɫi
bang,ˈbæŋ
barely,ˈbɛɹɫi
basically,ˈbeɪsɪkɫi
beastly,ˈbistˌɫi
beautifully,ˈbjutəfɫi
behind,bɪˈhaɪnd
below,biˈɫoʊ
beneficially,ˌbɛnəˈfɪʃəɫi
benignly,bəˈnaɪnɫi
besides,ˌbiˈsaɪdz
best,ˈbɛst
better,ˈbɛtɝ
between,bitˈwin
beyond,ˌbiˈɔnd
big,ˈbɪɡ
bilaterally,baɪˈɫætɝəɫi
bimonthly,baɪˈmənθɫi
biologically,baɪəˈɫɑdʒɪkɫi
bitterly,ˈbɪtɝɫi
blandly,ˈbɫændɫi
blankly,ˈbɫæŋkɫi
blatantly,ˈbɫeɪtəntɫi
blessedly,ˈbɫɛsədɫi
blindly,ˈbɫaɪndɫi
blissfully,ˈbɫɪsfəɫi
bloody,ˈbɫədi
bodily,ˈbɑdəɫi
boiling,ˈbɔɪɫɪŋ
boldly,ˈboʊɫdɫi
bravely,ˈbɹeɪvɫi
brazenly,ˈbɹeɪzənɫi
briefly,ˈbɹifɫi
brilliantly,ˈbɹɪɫjəntɫi
briskly,ˈbɹɪskɫi
broadly,ˈbɹɔdɫi
broadside,ˈbɹɔdˌsaɪd
brotherly,ˈbɹəðɝɫi
busily,ˈbɪzəɫi
by,ˈbaɪ
callously,ˈkæɫəsɫi
calmly,ˈkɑɫmɫi
capriciously,kəˈpɹɪʃɪsɫi
carelessly,ˈkɛɹɫəsɫi
casually,ˈkæʒəwəɫi
centrally,ˈsɛntɹəɫi
cerebrally,sɝˈibɹəɫi
characteristically,ˌkɛɹəktɝˈɪstɪkɫi
charitably,ˈtʃɛɹɪtəbɫi
charmingly,ˈtʃɑɹmɪŋɫi
cheaply,ˈtʃipɫi
cheerfully,ˈtʃɪɹfəɫi
chemically,ˈkɛməkɫi
chiefly,ˈtʃifɫi
chock,ˈtʃɑk
chronically,ˈkɹɑnɪkəɫi
chronologically,ˌkɹɑnəˈɫɑdʒɪkɫi
circularly,ˈsɝkjəɫɝɫi
circumstantially,ˌsɝkəmˈstænʃəˌɫi
civilly,ˈsɪvɪɫi
classically,ˈkɫæsɪkɫi
clean,ˈkɫin
clear,ˈkɫɪɹ
clearly,ˈkɫɪɹɫi
cleverly,ˈkɫɛvɝɫi
clinically,ˈkɫɪnɪkəɫi
clockwise,ˈkɫɑˌkwaɪz
close,ˈkɫoʊs
closely,ˈkɫoʊsɫi
clumsily,ˈkɫəmsəɫi
coherently,koʊˈhiɹəntɫi
coincidentally,koʊˌɪnsɪˈdɛnəɫi
coldly,ˈkoʊɫdɫi
collect,kəˈɫɛkt
comfortably,ˈkəmfɝtəbɫi
comically,ˈkɑmɪkəɫi
commercially,kəˈmɝʃəɫi
comparably,ˈkɑmpɝəbɫi
competently,ˈkɑmpətɪntɫi
competitively,kəmˈpɛtɪtɪvɫi
complacently,kəmˈpɫeɪsəntɫi
completely,kəmˈpɫitɫi
comprehensively,ˌkɑmpɹɪˈhɛnsɪvɫi
compulsively,kəmˈpəɫsɪvɫi
con,ˈkɑn
conceivably,kənˈsivəbɫi
conceptually,kənˈsɛptʃuəɫi
concisely,kənˈsaɪsɫi
concretely,ˈkɑnˌkɹitɫi
concurrently,kənˈkɝəntɫi
conditionally,kənˈdɪʃənəɫi
confidentially,ˌkɑnfəˈdɛnʃəɫi
confidently,ˈkɑnfədəntɫi
consciously,ˈkɑnʃəsɫi
consecutive,kənˈsɛkjətɪv
consecutively,kənˈsɛkjətɪvɫi
consequently,ˈkɑnsəˌkwɛntɫi
conservatively,kənˈsɝvətɪvɫi
conspicuously,kənˈspɪkjuəsɫi
constantly,ˈkɑnstəntɫi
constitutionally,ˌkɑnstəˈtuʃənəɫi
constructively,kənˈstɹəktɪvɫi
contemporaneously,kənˌtɛmpɝˈeɪniəsɫi
contemptuously,kənˈtɛmptʃwəsɫi
contentedly,kənˈtɛntədɫi
continually,kənˈtɪnjuəɫi
continuously,kənˈtɪnjuəsɫi
contractually,kənˈtɹæktʃuəɫi
contradictorily,ˌkɑntɹəˈdɪktɝəɫi
conventionally,kənˈvɛnʃənəɫi
conversely,ˈkɑnvɝsɫi
convincingly,kənˈvɪnsɪŋɫi
coolly,ˈkuɫi
correctly,kɝˈɛktɫi
correspondingly,ˌkɔɹəˈspɑndɪŋɫi
corruptly,kɝˈəptɫi
cosmetically,ˌkɔzˈmɛtɪkɫi
counter,ˈkaʊntɝ
counterclockwise,ˌkaʊnɝˈkɫɔkwaɪz
covertly,koʊˈvɝtɫi
coyly,ˈkɔɪɫi
creatively,kɹiˈeɪtɪvɫi
credibly,ˈkɹɛdəbɫi
criminally,ˈkɹɪmənəɫi
crisscross,ˈkɹɪsˌkɹɔs
critically,ˈkɹɪtɪkəɫi
crosstown,ˈkɹɔˌstaʊn
crosswise,ˈkɹɔˌswaɪz
crucially,ˈkɹuʃəɫi
crudely,ˈkɹudɫi
cruelly,ˈkɹuɫi
culturally,ˈkəɫtʃɝəˌɫi
cumulatively,ˈkjumjəɫəˌtɪvɫi
curiously,ˈkjʊɹiəsɫi
curtly,ˈkɝtɫi
customarily,ˌkəstəˈmɛɹəɫi
cynically,ˈsɪnɪkəɫi
daily,ˈdeɪɫi
daintily,ˈdeɪntəˌɫi
damned,ˈdæmd
darkly,ˈdɑɹkɫi
daylong,ˈdeɪˌɫɔŋ
deadly,ˈdɛdɫi
deadpan,ˈdɛdˌpæn
dearly,ˈdɪɹɫi
deathly,ˈdɛθɫi
decently,ˈdisəntɫi
deceptively,dɪˈsɛptɪvɫi
decidedly,ˌdɪˈsaɪdədɫi
decisively,dɪˈsaɪsɪvɫi
deep,ˈdip
deeply,ˈdipɫi
defenseless,dɪˈfɛnsɫəs
defensively,dɪˈfɛnsɪvɫi
deftly,ˈdɛftɫi
deliciously,dɪˈɫɪʃəʃɫi
delightfully,dɪˈɫaɪtfəɫi
demandingly,dɪˈmændɪŋɫi
democratically,ˌdɛməˈkɹætɪkɫi
demonstrably,dɪˈmɑnstɹəbɫi
demurely,dɪmˈjʊɹɫi
densely,ˈdɛnsɫi
depressingly,dɪˈpɹɛsɪŋɫi
derisively,dɝˈaɪsɪvɫi
deservedly,dɪˈzɝvədɫi
desperately,ˈdɛspɝətɫi
determinedly,dəˈtɝməndɫi
developmentally,dɪˌvɛɫəpˈmɛnəɫi
devilishly,ˈdɛvəɫɪʃɫi
devoutly,dɪˈvaʊtɫi
diagonally,daɪˈæɡənəɫi
diametrically,ˌdaɪəˈmɛtɹɪkəɫi
differently,ˈdɪfɝˈɛntɫi
digitally,ˈdɪdʒətəɫi
diligently,ˈdɪɫədʒəntɫi
dimly,ˈdɪmɫi
diplomatically,ˌdɪpɫəˈmætɪkɫi
directly,daɪˈɹɛkɫi
disappointingly,dɪsəˈpɔɪnɪŋɫi
disastrously,dɪˈzæstɹəsɫi
discontentedly,ˌdɪskənˈtɛntɪdɫi
discreetly,dɪsˈkɹitɫi
dishonestly,dɪˈsɔnəstɫi
dismally,ˈdɪzməɫi
disparagingly,dɪˈspɛɹɪdʒɪŋɫi
dispassionately,dɪˈspæʃənətɫi
disproportionately,ˌdɪspɹəˈpɔɹʃənətɫi
distinctively,dɪˈstɪŋktɪvɫi
distinctly,dɪˈstɪŋktɫi
disturbingly,dɪˈstɝbɪŋɫi
divinely,dɪˈvaɪnɫi
doggedly,ˈdɔɡədɫi
dogmatically,dɑɡˈmætɪkɫi
dolce,ˈdoʊɫˌtʃeɪ
domestically,dəˈmɛstɪkɫi
dorsally,ˈdɔɹsəɫi
double,ˈdəbəɫ
doubly,ˈdəbɫi
down,ˈdaʊn
downhill,ˈdaʊnˈhɪɫ
downright,ˈdaʊnˌɹaɪt
downriver,ˌdaʊnˈɹɪvɝ
downstage,ˈdaʊnˌsteɪdʒ
downstairs,ˈdaʊnˈstɛɹz
downtown,ˈdaʊnˈtaʊn
downwind,daʊnˈwɪnd
dramatically,dɹəˈmætɪkəɫi
drastically,ˈdɹæstɪkɫi
dreadfully,ˈdɹɛdfəɫi
due,ˈdju
dutifully,ˈdutifəɫi
dynamically,daɪˈnæmɪˌkɫi
each,ˈitʃ
eagerly,ˈiɡɝɫi
earlier,ˈɝɫiɝ
early,ˈɝɫi
easily,ˈizəɫi
east,ˈist
easterly,ˈistɝɫi
eastward,ˈistwɝd
easy,ˈizi
ecologically,ɛkəˈɫɑdʒɪkɫi
economically,ˌɛkəˈnɑmɪkɫi
ecstatically,ɛkˈstætɪkɫi
edgeways,ˈɛdʒˌweɪz
edgewise,ˈɛdʒˌwaɪz
editorially,ˌɛdəˈtɔɹiəɫi
educationally,ˌɛdʒəˈkeɪʃənəɫi
effectively,ˈifɛktɪvɫi
efficiently,ɪˈfɪʃəntɫi
effortlessly,ˈɛfɝtɫəsɫi
effusively,ɪfˈjusɪvɫi
elaborately,ɪˈɫæbɹətɫi
electrically,ɪˈɫɛktɹɪkəɫi
electronically,ˌɪˌɫɛkˈtɹɑnɪkəˌɫi
elegantly,ˈɛɫɪɡəntˌɫi
eloquently,ˈɛɫəkwəntɫi
elsewhere,ˈɛɫˌswɛɹ
embarrassingly,ɪmˈbɛɹəsɪŋɫi
eminently,ˈɛmənəntɫi
emotionally,ˈiˌmoʊʃnəɫi
empirically,ɛmˈpɪɹɪkəɫi
endlessly,ˈɛndɫəsɫi
energetically,ˌɛnɝˈdʒɛtɪkɫi
enormously,iˈnɔɹməsɫi
enough,iˈnəf
enthusiastically,ɪnˌθuziˈæstɪkɫi
entirely,ɪnˈtaɪɝɫi
enviously,ˈɛnviəsɫi
environmentally,ɪnˌvaɪɹənˈmɛnəɫi
equally,ˈikwəɫi
equitably,ˈɛkwɪtəbɫi
ergo,ˈɝɡoʊ
erratically,ɛˈɹætɪkɫi
ethically,ˈɛθɪkəɫi
ethnically,ˈɛθnɪkɫi
euphemistically,ˌjufəˈmɪstɪkɫi
even,ˈivɪn
evenly,ˈivənɫi
ever,ˈɛvɝ
evermore,ˈɛvɝˌmɔɹ
everywhere,ˈɛvɹiˌwɛɹ
excellently,ˈɛksəɫəntɫi
exceptionally,ɪkˈsɛpʃənəɫi
excessively,ɪkˈsɛsɪvɫi
excitedly,ɪkˈsaɪtədɫi
expensively,ˌɛkˈspɛnsɪvɫi
experimentally,ɪkˌspɛɹəˈmɛntəɫi
expertly,ˈɛkspɝtɫi
explicitly,ɪksˈpɫɪsətɫi
explosively,ˌɛksˈpɫoʊsɪvɫi
exponentially,ˌɛkspoʊˈnɛnʃəɫi
express,ɪksˈpɹɛs
expressly,ɛksˈpɹɛsɫi
extensively,ɪkˈstɛnsɪvɫi
externally,ɪkˈstɝnəɫi
extra,ˈɛkstɹə
extravagantly,ˌɛkˈstɹævəɡəntɫi
extremely,ɛkˈstɹimɫi
exultantly,ɪɡˈzəɫtəntɫi
fabulously,ˈfæbjuɫəsɫi
facetiously,fəˈsiʃəsɫi
factually,ˈfæktʃuəɫi
faintly,ˈfeɪntɫi
fairly,ˈfɛɹɫi
faithfully,ˈfeɪθfəɫi
falsely,ˈfɔɫsɫi
famously,ˈfeɪməsɫi
fanatically,fəˈnætɪkəɫi
far,ˈfɑɹ
farther,ˈfɑɹðɝ
farthest,ˈfɑɹðəst
fashionably,ˈfæʃənəbɫi
fast,ˈfæst
fatally,ˈfeɪtəɫi
favorably,ˈfeɪvɝəbɫi
federally,ˈfɛdɝəɫi
feebly,ˈfibɫi
ferociously,fɝˈoʊʃɪsɫi
feverishly,ˈfɛvɝˌɪʃɫi
fiercely,ˈfɪɹsɫi
figuratively,fɪɡˈjʊɹətɪvɫi
financially,ˌfaɪˈnænʃəɫi
finely,ˈfaɪnɫi
firm,ˈfɝm
first,ˈfɝst
firsthand,ˈfɝshænd
fiscally,ˈfɪskəɫi
fitfully,ˈfɪtfəɫi
flagrantly,ˈfɫeɪɡɹəntɫi
flamboyantly,fɫæmˈbɔɪəntɫi
flat,ˈfɫæt
flatly,ˈfɫætɫi
flexibly,ˈfɫɛksəbɫi
flop,ˈfɫɑp
fluently,ˈfɫuəntɫi
flush,ˈfɫəʃ
fondly,ˈfɑndɫi
foolishly,ˈfuɫɪʃɫi
forcefully,ˈfɔɹsfəɫi
forcibly,ˈfɔɹsəbɫi
fore,ˈfɔɹ
foremost,ˈfɔɹˌmoʊst
forever,fɝˈɛvɝ
formally,ˈfɔɹməɫi
formidably,ˈfɔɹmədəbɫi
forte,ˈfɔɹt
forth,ˈfɔɹθ
fortnightly,ˈfɔɹtˌnaɪtɫi
fortunately,ˈfɔɹtʃənətɫi
forward,ˈfɔɹwɝd
fourfold,ˌfɔɹˈfoʊɫd
foursquare,ˈfɔɹsˈkwɛɹ
fourthly,ˈfɔɹθɫi
fraudulently,ˈfɹɔduɫəntɫi
freely,ˈfɹiɫi
frequently,ˈfɹikwəntɫi
frighteningly,ˈfɹaɪtənɪŋɫi
frivolously,ˈfɹɪvəɫəsɫi
frowningly,ˈfɹaʊnɪŋɫi
frugally,ˈfɹuɡəɫi
fucking,ˈfəkɪŋ
fully,ˈfʊɫi
functionally,ˈfəŋkʃənəɫi
furiously,ˈfjʊɹiəsɫi
further,ˈfɝðɝ
furthermore,ˈfɝðɝˌmɔɹ
furthest,ˈfɝθəst
furtively,ˈfɝtɪvɫi
gaily,ˈɡeɪɫi
gainfully,ˈɡeɪnfəɫi
gallantly,ˈɡæɫəntɫi
gamely,ˈɡeɪmɫi
generally,ˈdʒɛnɝəɫi
generically,dʒəˈnɛɹɪkɫi
genetically,dʒəˈnɛtɪkɫi
gently,ˈdʒɛntɫi
geographically,ˌdʒiəˈɡɹæfɪkəɫi
geometrically,ˌdʒiəˈmɛtɹɪkɫi
gingerly,ˈdʒɪndʒɝɫi
girlishly,ˈɡɝɫɪʃɫi
gladly,ˈɡɫædɫi
gleefully,ˈɡɫifəɫi
glibly,ˈɡɫɪbɫi
globally,ˈɡɫoʊbəɫi
gloomily,ˈɡɫuməɫi
gloriously,ˈɡɫɔɹiəsɫi
glowingly,ˈɡɫoʊɪŋɫi
goddam,ˈɡɑdˌdæm
governmentally,ˈɡəvɝˌmɛnəɫi
gracefully,ˈɡɹeɪsfəɫi
graciously,ˈɡɹeɪʃəsɫi
gradually,ˈɡɹædʒuəɫi
grandly,ˈɡɹændɫi
graphically,ˈɡɹæfɪkɫi
gratis,ˈɡɹætəs
gratuitously,ɡɹəˈtuətəsɫi
gravely,ˈɡɹeɪvɫi
gravitationally,ˌɡɹævəˈteɪʃnəɫi
greatly,ˈɡɹeɪtɫi
greenly,ˈɡɹinɫi
grievously,ˈɡɹivəsɫi
grimly,ˈɡɹɪmɫi
grossly,ˈɡɹoʊsɫi
grotesquely,ɡɹoʊˈtɛskɫi
grudgingly,ˈɡɹədʒɪŋɡɫi
gruffly,ˈɡɹəfɫi
habitually,həˈbɪtʃuəɫi
half,ˈhæf
halfway,ˈhæfˈweɪ
haltingly,ˈhɔɫtɪŋɫi
handily,ˈhændəɫi
handsomely,ˈhænsəmɫi
haphazard,hæpˈhæzɝd
happily,ˈhæpəɫi
hard,ˈhɑɹd
hardly,ˈhɑɹdɫi
harmlessly,ˈhɑɹmɫəsɫi
harmoniously,hɑɹˈmoʊniəsɫi
harshly,ˈhɑɹʃɫi
haughtily,ˈhɔtɪɫi
headlong,ˈhɛdˌɫɔŋ
heaps,ˈhips
heartily,ˈhɑɹtəɫi
heatedly,ˈhitɪdɫi
heavily,ˈhɛvəɫi
heavy,ˈhɛvi
helpfully,ˈhɛɫpfəɫi
helplessly,ˈhɛɫpɫəsɫi
hence,ˈhɛns
henceforth,ˈhɛnsˈfɔɹθ
here,ˈhiɹ
hereabout,ˈhɪɹəˌbaʊt
hereafter,hɪˈɹæftɝ
hereby,hɪɹˈbaɪ
herein,hɪˈɹɪn
hermetically,hɝˈmɛtɪkəɫi
heroically,ˌhɪˈɹoʊɪkɫi
hideously,ˈhɪdiəsɫi
high,ˈhaɪ
highly,ˈhaɪɫi
hilariously,hɪˈɫɛɹiəsɫi
historically,hɪˈstɔɹɪkəɫi
home,ˈhoʊm
homeward,ˈhoʊmwɝd
honestly,ˈɑnəsɫi
honorably,ˈɑnɝəbɫi
hopefully,ˈhoʊpfəɫi
hopelessly,ˈhoʊpɫəsɫi
horizontally,ˌhɔɹɪˈzɑntəɫi
horseback,ˈhɔɹsˌbæk
hourly,ˈaʊɹɫi
however,ˌhaʊˈɛvɝ
humanely,hjuˈmeɪnɫi
humbly,ˈhəmbɫi
humorously,ˈhjumɝəsɫi
hungrily,ˈhəŋɡɹəɫi
hurriedly,ˈhɝidɫi
hypothetically,ˌhaɪpəˈθɛtɪkɫi
hysterically,ˌhɪsˈtɛɹɪkɫi
icily,ˈaɪsɪɫi
ideally,aɪˈdiɫi
ideologically,ˌaɪdiəˈɫɑdʒɪkɫi
idiotically,ˌɪdiˈɑtɪkɫi
idly,ˈaɪdɫi
ill,ˈɪɫ
illegally,ˌɪˈɫiɡəɫi
imaginatively,ˌɪˈmædʒənəˌtɪvˌɫi
immaculately,ˌɪˈmækjəɫətɫi
immeasurably,ˌɪˈmɛʒɝˌæbɫi
immediately,ˌɪˈmiˌdiətɫi
imminently,ˈɪmənəntɫi
impartially,ˌɪmˈpɑɹʃəɫi
impassively,ˌɪmˈpæsɪvɫi
impatiently,ˌɪmˈpeɪʃəntɫi
impeccably,ˌɪmˈpɛkəbɫi
imperceptibly,ˌɪmpɝˈsɛptɪbɫi
imperfectly,ˌɪmˈpɝfɪktɫi
implicitly,ˌɪmˈpɫɪsətɫi
importantly,ˌɪmˈpɔɹtəntɫi
impossibly,ˌɪmˈpɑsəbɫi
impressively,ˌɪmˈpɹɛsɪvɫi
improperly,ˌɪmˈpɹɑpɝɫi
imprudently,ˌɪmˈpɹudəntɫi
in,ˈɪn
inaccurately,ˌɪˈnækjɝətɫi
inadequately,ˌɪˈnædəkwətɫi
inappropriately,ˌɪnəˈpɹɑpɹiətɫi
inaudibly,ˌɪˈnɔdəbɫi
incidentally,ˌɪnsɪˈdɛntəɫi
incognito,ˌɪnkɔɡˈnitoʊ
incoherently,ˌɪnkoʊˈhɪɹəntɫi
incomparably,ˌɪnˈkɑmpɝəbɫi
incompetently,ˌɪnˈkɑmpətəntɫi
inconclusively,ˌɪŋˈkɑnkɫusɪvɫi
incongruously,ˌɪŋˈkɔŋɹuəsɫi
incorrectly,ˌɪnkɝˈɛktɫi
increasingly,ɪnˈkɹisɪŋɡɫi
incredibly,ˌɪnˈkɹɛdəbɫi
indeed,ˌɪnˈdid
indefinitely,ˌɪnˈdɛfənətɫi
indelibly,ˌɪnˈdɛɫəbɫi
independently,ˌɪndɪˈpɛndəntɫi
indigenously,ˌɪnˈdɪdʒənəˌsɫi
indignantly,ˌɪnˈdɪɡnəntˌɫi
indirectly,ˌɪndɝˈɛktˌɫi
individually,ˌɪndɪˈvɪdʒəɫi
industrially,ˌɪnˈdəstɹiəɫi
inefficiently,ˌɪnɪˈfɪʃəntɫi
ineptly,ˌɪˈnɛptɫi
inescapably,ˌɪnɪˈskeɪpəbɫi
inevitably,ˌɪˈnɛvətəbɫi
inexcusably,ˌɪnɪkˈskjuzəbɫi
inexorably,ˌɪˈnɛksɝəbɫi
inextricably,ˌɪˈnɛkstɹɪˌkəbɫi
infinitely,ˈɪnfənətɫi
inflexibly,ˌɪnˈfɫɛksəbɫi
informally,ˌɪnˈfɔɹməɫi
infrequently,ˌɪnˈfɹikwəntɫi
ingeniously,ˌɪnˈdʒinjəsɫi
inherently,ɪnˈhɛɹəntɫi
inland,ˈɪnˌɫænd
innately,ˌɪˈneɪtɫi
innocently,ˈɪnəsəntɫi
inordinately,ˌɪˈnɔɹdənətɫi
inseparably,ˌɪnˈsɛpɝəbɫi
inshore,ˈɪnˈʃɔɹ
inside,ˈɪnˌsaɪd
insistently,ˌɪnˈsɪstəntɫi
insofar,ˈɪnsəfɑɹ
instantaneously,ˌɪnstənˈtæniəsɫi
instinctively,ˌɪnˈstɪŋktɪvˌɫi
institutionally,ˌɪnstɪˈtuʃənəˌɫi
insufficiently,ˌɪnsəˈfɪʃəntɫi
intellectually,ˌɪnəˈɫɛktʃuəɫi
intelligently,ˌɪnˈtɛɫɪdʒəntɫi
intelligibly,ˌɪnˈtɛɫədʒəbɫi
intensely,ˌɪnˈtɛnsɫi
intensively,ˌɪnˈtɛnsɪvɫi
intently,ˌɪnˈtɛntɫi
interchangeably,ˌɪnɝˈtʃeɪndʒəbɫi
interestingly,ˈɪntɝˌɛstɪŋɫi
interminably,ˈɪntɝmɪˌnæbɫi
intermittently,ˌɪntɝˈmɪtəntɫi
internally,ˌɪnˈtɝnəɫi
internationally,ˌɪnɝˈnæʃənəɫi
intravenously,ɪnˈtɹævənəsɫi
intrinsically,ˌɪnˈtɹɪnsɪkəɫi
intuitively,ˌɪnˈtuɪtɪvɫi
inversely,ˌɪnˈvɝsɫi
involuntarily,ˌɪnˌvɑɫənˈtɝəɫi
inward,ˈɪnwɝd
inwardly,ˈɪnwɝdɫi
ironically,aɪˈɹɑnɪkɫi
irrationally,ˌɪˈɹæʃənəɫi
irregardless,ˌɪɹəˈɡɑdɫəs
irregularly,ˌɪˈɹɛɡjəɫɝɫi
irreparably,ˌɪˈɹɛpɝəbɫi
irresponsibly,ˌɪɹəˈspɑnsəbɫi
irretrievably,ˌɪɹəˈtɹivəbɫi
irreversibly,ˌɪɹɪˈvɝsəbɫi
irrevocably,ˌɪˈɹɛvəkəbɫi
item,ˈaɪtəm
jauntily,ˈdʒɔntəɫi
jealously,ˈdʒɛɫəsɫi
jointly,ˈdʒɔɪntɫi
jokingly,ˈdʒoʊkɪŋɫi
journalistically,ˌdʒɝnəˈɫɪstɪkəɫi
judicially,dʒuˈdɪʃəɫi
judiciously,dʒuˈdɪʃɪsɫi
just,ˈdʒəst
justifiably,ˈdʒəstəˌfaɪəbɫi
justly,ˈdʒəstɫi
keenly,ˈkinɫi
kindly,ˈkaɪndɫi
laboriously,ɫəˈbɔɹiəsɫi
lamely,ˈɫeɪmɫi
landward,ˈɫændwɝd
large,ˈɫɑɹdʒ
largely,ˈɫɑɹdʒɫi
largo,ˈɫɑɹɡoʊ
last,ˈɫæs
lastingly,ˈɫæstɪŋɫi
late,ˈɫeɪt
later,ˈɫeɪtɝ
laterally,ˈɫætɝəˌɫi
laughingly,ˈɫæfɪŋɫi
lavishly,ˈɫævɪʃɫi
lazily,ˈɫæzəɫi
least,ˈɫist
leeward,ˈɫiwɝd
left,ˈɫɛft
legally,ˈɫiɡəɫi
legato,ɫəˈɡɑˌtoʊ
legislatively,ˈɫɛdʒɪˌsɫeɪtɪvɫi
legitimately,ɫəˈdʒɪtəmətɫi
lengthways,ˈɫɛŋθˌweɪz
lento,ˈɫɛntoʊ
less,ˈɫɛs
liberally,ˈɫɪˌbɝəˌɫi
lightly,ˈɫaɪtɫi
linearly,ˈɫɪniɝɫi
linguistically,ɫɪŋˈɡwɪstɪkɫi
listlessly,ˈɫɪstɫəsɫi
literally,ˈɫɪtɝəɫi
little,ˈɫɪtəɫ
live,ˈɫaɪv
