aardvark,ˈɑɹdˌvɑɹk
adobe,əˈdoʊbi
adolescence,ˌædəˈɫɛsəns
adolescent,ˌædəˈɫɛsənt
adonis,əˈdɑnəs
adoptee,əˈdɑpˈti
adoption,əˈdɑpʃən
adoration,ˌædɝˈeɪʃən
adornment,əˈdɔɹnmənt
adrenergic,ədɹɛˈnɛɹdʒɪk
adsorption,ədˈsɔɹpʃən
adulation,ˌædʒəˈɫeɪʃən
adult,ˈædəɫt
adulteration,əˌdəɫtɝˈeɪʃən
adulterer,əˈdəɫtɝɝ
adultery,əˈdəɫtɝi
adulthood,əˈdəɫtˌhʊd
advance,ədˈvæns
advancement,ədˈvænsmənt
advancer,ədˈvænsɝ
advantage,ædˈvæntɪdʒ
advection,ædˈvɛkʃən
advent,ˈædˌvɛnt
adventure,ædˈvɛntʃɝ
adventurer,ædˈvɛntʃɝɝ
adventurism,ædˈvɛntʃɝˌɪzəm
adverb,ˈædvɝb
adverbial,ædˈvɝbiəɫ
adversary,ˈædvɝˌsɛɹi
adversity,ædˈvɝsɪˌti
advertiser,ˈædvɝˌtaɪzɝ
advertising,ˈædvɝˌtaɪzɪŋ
advertorial,ˌædvɝˈtɔɹiəɫ
advice,ædˈvaɪs
advisability,ˌædˌvaɪzəˈbɪɫɪti
adviser,ædˈvaɪzɝ
advisory,ædˈvaɪzɝi
advocacy,ˈædvəkəsi
advocate,ˈædvəˌkeɪt
adz,ˈædz
aerie,ˈɛɹi
aerobics,ɝˈoʊbɪks
aeronautics,ˌɛɹəˈnɔtɪks
aerosol,ˈɛɹəˌsɑɫ
aerospace,ˈɛɹoʊˌspeɪs
aesthetic,ɛsˈθɛtɪk
aesthetics,ɛsˈθɛtɪks
affair,əˈfɛɹ
affairs,əˈfɛɹz
affect,əˈfɛkt
affectation,ˌæfɛkˈteɪʃən
affection,əˈfɛkʃən
affiant,ˈæfiənt
affidavit,ˌæfəˈdeɪvət
affiliate,əˈfɪɫiˌeɪt
affiliation,əˌfɪɫiˈeɪʃən
affine,əˈfaɪn
affinity,əˈfɪnəti
affirmation,ˌæfɝˈmeɪʃən
affirmative,əˈfɝmətɪv
affix,ˈæfɪks
affliction,əˈfɫɪkʃən
affluence,ˈæfɫuəns
affluent,ˈæfɫuənt
affricate,ˈæfɹəkət
affrication,ˌæfɹəˈkeɪʃən
afghan,ˈæfˌɡæn
afghani,æfˈɡɑni
aficionado,əˌfiʃjəˈnɑˌdoʊ
afterburner,ˈæftɝˌbɝnɝ
aftereffect,ˈæftɝəˌfɛkt
afterglow,ˈæftɝˌɡɫoʊ
afterimage,ˈæftɝˌɪmɪdʒ
afterlife,ˈæftɝˌɫaɪf
aftermath,ˈæftɝˌmæθ
afternoon,ˌæftɝˈnun
aftershock,ˈæftɝˌʃɑk
aftertaste,ˈæftɝˌteɪst
afterthought,ˈæftɝˌθɑt
agape,əˈɡeɪp
agar,ˈeɪɡɝ
age,ˈeɪdʒ
aged,ˈeɪdʒd
agency,ˈeɪdʒənsi
agenda,əˈdʒɛndə
agent,ˈeɪdʒənt
ageratum,əˈdʒɛɹətəm
agglomeration,əˌɡɫɑmɝˈeɪʃən
aggrandizement,ˈæɡɹənˌdaɪzmənt
aggravation,ˌæɡɹəˈveɪʃən
aggregate,ˈæɡɹəɡeɪt
aggression,əˈɡɹɛʃən
aggressiveness,əˈɡɹɛsɪvnəs
aggressor,əˈɡɹɛsɝ
agility,əˈdʒɪɫəti
aging,ˈeɪdʒɪŋ
agitation,ˌædʒəˈteɪʃən
agitator,ˈædʒəˌteɪtɝ
agitprop,ˈædʒətˌpɹɔp
agnostic,æɡˈnɑstɪk
agonist,ˈæɡənɪst
agony,ˈæɡəni
agora,ˈæɡɝə
agoraphobia,əˌɡɔɹəˈfoʊbiə
agreement,əˈɡɹimənt
agribusiness,ˈæɡɹəˌbɪznəs
agriculture,ˈæɡɹɪˌkəɫtʃɝ
agronomist,əˈɡɹɑnəmɪst
agronomy,əˈɡɹɑnəˌmɪ
ague,ˈeɪɡˌju
aid,ˈeɪd
aide,ˈeɪd
aileron,ˈeɪɫɝˌɑn
ailment,ˈeɪɫmənt
aim,ˈeɪm
air,ˈɛɹ
airbus,ˈɛɹbəs
aircraft,ˈɛɹˌkɹæft
aircrew,ˈɛɹˌkɹu
airdrop,ˈɛɹdɹɑp
airfare,ˈɛɹˌfɛɹ
airfield,ˈɛɹˌfiɫd
airflow,ˈɛɹfɫoʊ
airfoil,ˈɛɹˌfɔɪɫ
airframe,ˈɛɹˌfɹeɪm
airhead,ˈɛɹˌhɛd
airing,ˈɛɹɪŋ
airlift,ˈɛɹˌɫɪft
airline,ˈɛɹˌɫaɪn
airliner,ˈɛɹˌɫaɪnɝ
airlock,ˈɛɹˌɫɔk
airmail,ˈɛɹˌmeɪɫ
airplane,ˈɛɹˌpɫeɪn
airport,ˈɛɹˌpɔɹt
airs,ˈɛɹz
airship,ˈɛɹˌʃɪp
airspace,ˈɛɹˌspeɪs
airspeed,ˈɛɹˌspid
airstrip,ˈɛɹˌstɹɪp
aisle,ˈaɪəɫ
ala,ˈæɫə
alabaster,ˈæɫəˌbæstɝ
alacrity,əˈɫækɹəti
alarm,əˈɫɑɹm
alarmist,əˈɫɑɹməst
albacore,ˈæɫbəˌkɔɹ
albatross,ˈæɫbəˌtɹɑs
albino,æɫˈbaɪˌnoʊ
album,ˈæɫbəm
alcazar,ˈɑɫkəˌzɑɹ
alchemist,ˈæɫtʃəmɪst
alchemy,ˈæɫkəmi
alcohol,ˈæɫkəˌhɑɫ
alcoholic,ˌæɫkəˈhɑɫɪk
alcoholism,ˈæɫkəˌhɔˌɫɪzəm
alcove,ˈæɫˌkoʊv
alderman,ˈæɫdɝmən
ale,ˈeɪɫ
alehouse,ˈeɪɫˌhaʊs
aleph,ˈɑɫəf
alert,əˈɫɝt
alertness,əˈɫɝtnəs
algorithm,ˈæɫɡɝˌɪðəm
alias,ˈeɪɫiəs
alibi,ˈæɫəˌbaɪ
alienation,ˌeɪɫiəˈneɪʃən
alignment,əˈɫaɪnmənt
alimony,ˈæɫəˌmoʊni
aliyah,əˈɫiə
alkahest,ˈæɫkəˌhɛst
alkalinity,ˌæɫkəˈɫɪnəti
allegation,ˌæɫəˈɡeɪʃən
allegiance,əˈɫidʒəns
allegory,ˈæɫəˌɡɔɹi
allegro,əˈɫɛˌɡɹoʊ
allele,əˈɫɛɫi
allergist,ˈæɫɝdʒəst
allergy,ˈæɫɝdʒi
alley,ˈæɫi
alliance,əˈɫaɪəns
allies,ˈæɫaɪz
alligator,ˈæɫəˌɡeɪtɝ
alliteration,əˈɫɪtɝˌeɪʃən
allocation,ˌæɫəˈkeɪʃən
allocator,ˈæɫəˌkeɪtɝ
allograph,ˈæɫəˌɡɹæf
allomorph,ˈæɫəmɔɹf
allophone,ˈæɫəˌfoʊn
allotment,əˈɫɑtmənt
allowance,əˈɫaʊəns
allure,əˈɫʊɹ
allusion,əˈɫuʒən
ally,ˈæɫaɪ
almanac,ˈɑɫməˌnæk
almond,ˈɑmənd
almoner,ˈɑɫmənɝ
alms,ˈɑɫmz
aloe,ˈæˌɫoʊ
aloha,əˈɫoʊhɑ
aloofness,əˈɫufnəs
alpaca,æɫˈpækə
alpha,ˈæɫfə
alphabet,ˈæɫfəˌbɛt
alphabetization,ˌæɫfəˌbɛtəˈzeɪʃən
altar,ˈɔɫtɝ
altarpiece,ˈɔɫtɝˌpis
alteration,ˌɔɫtɝˈeɪʃən
alternation,ˈɔɫtɝˌneɪʃən
alternator,ˈɔɫtɝˌneɪtɝ
altimeter,æɫˈtɪmətɝ
altitude,ˈæɫtəˌtud
alto,ˈæɫtoʊ
altruism,ˈæɫtɹuˌɪzəm
alum,ˈæɫəm
alumina,əˈɫumənə
alumnus,əˈɫəmnəs
amalgam,əˈmæɫɡəm
amalgamation,əˌmæɫɡəˈmeɪʃən
amaretto,æməˈɹɛtoʊ
amaryllis,ˌæmɝˈɪɫəs
amateur,ˈæməˌtɝ
amateurism,ˈæməˌtʃɝɪzəm
amazon,ˈæməˌzɑn
ambassador,æmˈbæsədɝ
ambassadorship,æmˈbæsədɝˌʃɪp
ambassadress,æmˈbæsədɹəs
amber,ˈæmbɝ
ambiance,ˈæmbiəns
ambiguity,ˌæmbɪɡˈjuəti
ambition,æmˈbɪʃən
ambivalence,æmˈbɪvəɫəns
amble,ˈæmbəɫ
ambrosia,æmˈbɹoʊʒə
ambulance,ˈæmbjəɫəns
ambulatory,ˈæmbjəɫəˌtɔɹi
ambush,ˈæmˌbʊʃ
amelia,əˈmiɫjə
amendment,əˈmɛndmənt
amigo,əˈmiˌɡoʊ
amity,ˈæmɪti
ammeter,ˈæˌmitɝ
ammonite,ˈæməˌnaɪt
ammunition,ˌæmjəˈnɪʃən
amnesty,ˈæmnəsti
amniocentesis,ˌæmnioʊˌsɛnˈtisɪs
amorist,ˈæmɝəst
amortization,ˌæmɝtɪˈzeɪʃən
amount,əˈmaʊnt
amoxicillin,əˈmɔksəˌsɪɫɪn
amperage,ˈæmˌpɝɪdʒ
ampere,ˈæmˌpɝ
ampersand,ˈæmpɝˌsænd
amphetamine,æmˈfɛtəˌmin
amphibian,æmˈfɪbiən
amphitheater,ˈæmfəθiˈeɪtɝ
amphora,ˈæmfɝə
amplification,ˌæmpɫəfəˈkeɪʃən
amplifier,ˈæmpɫəˌfaɪɝ
amplitude,ˈæmpɫəˌtud
amputation,ˌæmpjəˈteɪʃən
amputee,ˈæmpjəˈti
amulet,ˈæmjəɫət
amusement,əmˈjuzmənt
amygdala,ˌæmɪɡˈdɑɫə
amyloid,ˈæmɪˌɫɔɪd
ana,ˈænə
anachronism,əˈnækɹəˌnɪzəm
anaconda,ˌænəˈkɑndə
anaerobe,ˈænɝˌoʊb
anagram,ˈænəˌɡɹæm
analgesic,ˌænəɫˈdʒisɪk
analogue,ˈænəˌɫɔɡ
analogy,əˈnæɫədʒi
analysand,æˈnæɫɪˌzænd
analysis,əˈnæɫəsəs
analyst,ˈænəɫɪst
analyticity,ˌænəɫəˈtɪsəti
analyzer,ˈænəˌɫaɪzɝ
anaphora,əˈnæfɝə
anaphylaxis,ˌænəfəˈɫæksɪs
anaplasia,ˌænəˈpɫeɪʒjə
anarchist,ˈænɝˌkɪst
anarchy,ˈænɝˌki
anathema,əˈnæθəmə
anatomist,əˈnætəməst
anatomy,əˈnætəmi
ancestry,ˈænsɛstɹi
anchor,ˈæŋkɝ
anchorage,ˈæŋkɝədʒ
ancient,ˈeɪnʃənt
andante,ɑnˈdɑnteɪ
andiron,ˈænˌdaɪɝn
androgyny,ænˈdɹɔdʒəni
android,ˈænˌdɹɔɪd
anecdote,ˈænəkˌdoʊt
anemia,əˈnimiə
anemometer,ˌænəˈmɑmətɝ
anencephaly,ænɪnˈsɛfəɫi
anesthesia,ˌænɪsˈθiʒə
anesthesiologist,ˌænəsˌθiziˈɑɫədʒəst
anesthesiology,ˌænəsθiziˈɑɫədʒi
anesthetic,ˌænəsˈθɛtɪk
aneurysm,ˈænjʊˌɹɪzəm
angel,ˈeɪndʒəɫ
angelfish,ˈeɪndʒəɫˌfɪʃ
angelica,ˈændʒəˌɫikə
anger,ˈæŋɡɝ
angina,ænˈdʒaɪnə
angiogenesis,ˌændʒioʊˈdʒɛnəsəs
angiogram,ˈænˌdʒioʊˌɡɹæm
angiotensin,ˌænˌdʒioʊˈtɛnsɪn
angle,ˈæŋɡəɫ
angler,ˈæŋɡɫɝ
angling,ˈæŋɡɫɪŋ
anglophile,ˈænɡɫəˌfaɪɫ
angst,ˈɑŋkst
angstrom,ˈæŋstɹəm
anguish,ˈæŋɡwɪʃ
anhydride,ænˈhaɪdɹɪd
animal,ˈænəməɫ
animation,ˌænəˈmeɪʃən
animator,ˈænəˌmeɪtɝ
anime,ˌænɪˈmeɪ
animism,ˈænəˌmɪzəm
animist,ˈænəməst
animosity,ˌænəˈmɑsəti
anion,ˈæˌnaɪɔn
anise,ˈænəs
anisette,ˌænəˈsɛt
ankle,ˈæŋkəɫ
anklet,ˈæŋkɫɪt
anna,ˈænə
annals,ˈænəɫz
annealing,əˈniɫɪŋ
annelid,ˈænəɫɪd
annex,ˈæˌnɛks
annexation,ˌænɛkˈseɪʃən
annihilation,əˌnaɪəˈɫeɪʃən
anniversary,ˌænəˈvɝsɝi
annotation,ˌænəˈteɪʃən
annotator,ˌænəˈteɪtɝ
announcement,əˈnaʊnsmənt
announcer,əˈnaʊnsɝ
annoyance,əˈnɔɪəns
annual,ˈænjuəɫ
annuity,əˈnuəti
annulment,ˈænəɫmənt
annum,ˈænəm
anode,ˈæˌnoʊd
anomaly,əˈnɑməɫi
anomie,ˈænəmi
anonymity,ˌænəˈnɪmɪti
anorexic,ˌænɝˈɛksɪk
anorthite,æˈnɔɹˌθaɪt
answer,ˈænsɝ
ant,ˈænt
antacid,ænˈtæsəd
antagonism,ænˈtæɡəˌnɪzəm
antagonist,ænˈtæɡənəst
ante,ˈænti
anteater,ˈænˌtitɝ
antecedent,ˌænˈtɛsədənt
antelope,ˈæntəˌɫoʊp
antenna,ænˈtɛnə
anthem,ˈænθəm
anthill,ˈæntˌhɪɫ
anthologist,ænˈθɔɫəˌɡɪst
anthology,ænˈθɑɫədʒi
anthracite,ˈænθɹəˌsaɪt
anthrax,ˈænθɹæks
anthropologist,ˌænθɹəˈpɑɫədʒəst
anthropology,ˌænθɹəˈpɑɫədʒi
anthropomorphism,ˌænθɹəpəˈmɔɹfɪzəm
anti,ˈænˌtaɪ
antiaircraft,ˌæntaɪˈɛɹˌkɹæft
antibacterial,ˌæntibækˈtɪɹiəɫ
antibiotic,ˌæntaɪbaɪˈɑtɪk
antibody,ˈæntiˌbɑdi
antic,ˈæntɪk
anticipation,ænˌtɪsəˈpeɪʃən
anticyclone,ˌæntiˈsaɪˌkɫoʊn
antidepressant,ˌæntidɪˈpɹɛsənt
antidote,ˈænɪˌdoʊt
antifreeze,ˈæntiˌfɹiz
antifungal,ˌænˌtaɪˈfəŋɡəɫ
antigen,ˈæntədʒən
antihistamine,ˌæntiˈhɪstəmən
antinomy,æˈtɪnoʊˌmi
antipasto,ˌæntiˈpɑstoʊ
antipathy,ænˈtɪpəθi
antiphon,ˈæntəˌfɑn
antipodal,ænˈtɪpədəɫ
antipode,ˌæntɪˌpoʊd
antipodes,ˌæntɪˌpoʊdiz
antique,ænˈtik
antiquity,ænˈtɪkwəti
antiseptic,ˌæntəˈsɛptɪk
antithesis,ænˈtɪθəsəs
antitoxin,ˌæntiˈtɑksən
antiviral,ˌæntiˈvaɪɹəɫ
antler,ˈæntɫɝ
anus,ˈeɪnəs
anvil,ˈænvəɫ
anxiety,æŋˈzaɪəti
anything,ˈɛniˌθɪŋ
aorta,eɪˈɔɹtə
apache,əˈpætʃi
apartheid,əˈpɑɹˌtaɪd
apartment,əˈpɑɹtmənt
apathy,ˈæpəθi
ape,ˈeɪp
apercu,ˈæpɝˌsu
aperitif,əˌpɛɹəˈtif
aperture,ˈæpɝtʃɝ
apex,ˈeɪˌpɛks
aphasia,əˈfeɪʒə
aphid,ˈæfəd
aphorism,ˈæfɝˌɪzəm
aphrodisiac,ˌæfɹoʊˈdiziæk
aplomb,əˈpɫɑm
apnea,ˈæpniə
apocalypse,əˈpɑkəˌɫɪps
apogee,ˈæpəˌdʒi
apologist,əˈpɑɫədʒəst
apology,əˈpɑɫəˌdʒi
apoptosis,ˌæpɔpˈtoʊsɪz
apostle,əˈpɑsəɫ
apostrophe,əˈpɑstɹəˌfi
appalling,əˈpɔɫɪŋ
apparatus,ˌæpɝˈætəs
apparel,əˈpæɹəɫ
apparition,ˌæpɝˈɪʃən
appeal,əˈpiɫ
appearance,əˈpɪɹəns
appeasement,əˈpizmənt
appellant,əˈpɛɫɪnt
appellation,ˌæpəˈɫeɪʃən
appendage,əˈpɛndɪdʒ
appendectomy,ˌæpɪnˈdɛktəmi
appendicitis,əˌpɛnˌdɪˈsaɪtɪz
appendix,əˈpɛndɪks
appetite,ˈæpəˌtaɪt
appetizer,ˈæpəˌtaɪzɝ
applause,əˈpɫɔz
apple,ˈæpəɫ
applet,ˈæpɫət
appliance,əˈpɫaɪəns
applicability,ˌæpɫəkəˈbɪɫəti
applicant,ˈæpɫɪkənt
application,ˌæpɫəˈkeɪʃən
applicator,ˈæpɫəˌkeɪtɝ
appointee,əˈpɔɪnti
appointment,əˈpɔɪntmənt
appraisal,əˈpɹeɪzəɫ
appraiser,əˈpɹeɪzɝ
appreciation,əˌpɹiʃiˈeɪʃən
apprehension,ˌæpɹɪˈhɛnʃən
apprentice,əˈpɹɛntəs
apprenticeship,əˈpɹɛntəsˌʃɪp
appro,ˈæpɹoʊ
approach,əˈpɹoʊtʃ
approbation,ˌæpɹəˈbeɪʃən
appropriateness,əˈpɹoʊpɹiətnəs
appropriation,əˌpɹoʊpɹiˈeɪʃən
appropriator,əˈpɹoʊpɹiˌeɪtɝ
approval,əˈpɹuvəɫ
approximation,əˌpɹɑksəˈmeɪʃən
apricot,ˈeɪpɹəˌkɑt
apron,ˈeɪpɹən
aptitude,ˈæptəˌtud
aquaculture,ˈækwəˌkəɫtʃɝ
aqualung,ˈækwəɫəŋ
aquamarine,ˌɑkwəmɝˈin
aquanaut,ˈɑkwəˌnɑt
aquarium,əˈkwɛɹiəm
aquatic,əˈkwætɪk
aqueduct,ˈækwəˌdəkt
aquifer,ˈækwəfɝ
arachnid,əˈɹæknəd
arbiter,ˈɑɹbɪtɝ
arbitrage,ˈɑɹbɪˌtɹɑʒ
arbitrageur,ˈɑɹbɪˌtɹɑʒɝ
arbitration,ˌɑɹbɪˈtɹeɪʃən
arbor,ˈɑɹbɝ
arboretum,ˌɑɹbɝˈitəm
arc,ˈɑɹk
arcade,ɑɹˈkeɪd
arch,ˈɑɹtʃ
archangel,ˌɑɹˈkeɪndʒəɫ
archbishop,ˈɑɹtʃˈbɪʃəp
archdiocese,ˈɑɹtʃˈdaɪəsəs
archduke,ˈɑɹtʃˌduk
archeology,ˌɑɹkiˈɑɫədʒi
archer,ˈɑɹtʃɝ
archery,ˈɑɹtʃɝi
archipelago,ˌɑɹkəˈpɛɫəˌɡoʊ
architect,ˈɑɹkəˌtɛkt
architecture,ˈɑɹkəˌtɛktʃɝ
architrave,ˈɑɹkəˌtɹeɪv
archive,ˈɑɹˌkaɪv
archives,ˈɑɹˌkaɪvz
archivist,ˈɑɹkaɪvɪst
arctic,ˈɑɹktɪk
ardor,ˈɑɹdɝ
are,ˈɑɹ
area,ˈɛɹiə
arena,ɝˈinə
argent,ˈɑɹdʒɪnt
argonaut,ˈɑɹɡəˌnɔt
argosy,ˈɑɹɡəsi
argument,ˈɑɹɡjəmənt
argumentation,ˌɑɹɡjəmɛnˈteɪʃən
argus,ˈɑɹɡəs
argyle,ˈɑɹˌɡaɪɫ
arista,ɝˈɪstə
aristocrat,ɝˈɪstəˌkɹæt
arithmetic,ˌɛɹɪθˈmɛtɪk
ark,ˈɑɹk
arm,ˈɑɹm
armada,ɑɹˈmɑdə
armadillo,ˌɑɹməˈdɪɫoʊ
armament,ˈɑɹməmənt
armband,ˈɑɹmˌbænd
armchair,ˈɑɹmˌtʃɛɹ
armiger,ˈɑɹmɪɡɝ
armilla,ɑɹˈmɪɫə
arming,ˈɑɹmɪŋ
armistice,ˈɑɹməstəs
armoire,ˈɑmwɑɹ
armor,ˈɑɹmɝ
armory,ˈɑɹmɝi
armpit,ˈɑɹmˌpɪt
armrest,ˈɑɹmˌɹɛst
army,ˈɑɹmi
aroma,ɝˈoʊmə
arousal,ɝˈaʊzəɫ
arraignment,ɝˈeɪnmənt
arrangement,ɝˈeɪndʒmənt
arranger,ɝˈeɪndʒɝ
array,ɝˈeɪ
arrears,ɝˈɪɹz
arrest,ɝˈɛst
arrival,ɝˈaɪvəɫ
arrogance,ˈɛɹəɡəns
arrow,ˈæɹoʊ
arrowhead,ˈæɹoʊˌhɛd
arrowroot,ˈɛɹoʊˌɹut
arrowsmith,ˈæɹoʊsˌmɪθ
arroyo,ɝˈɔɪoʊ
arsenal,ˈɑɹsənəɫ
arson,ˈɑɹsən
arsonist,ˈɑɹsənəst
art,ˈɑɹt
arteriosclerosis,ɑɹˌtɪɹioʊskɫɝˈoʊsəs
artery,ˈɑɹtɝi
arthritic,ɑɹˈθɹɪtɪk
arthritis,ɑɹˈθɹaɪtəs
arthropod,ˈɑɹθɹəˌpɑd
artichoke,ˈɑɹtəˌtʃoʊk
article,ˈɑɹtəkəɫ
articulation,ˌɑɹtɪkjəˈɫeɪʃən
artifact,ˈɑɹtəˌfækt
artillery,ɑɹˈtɪɫɝi
artist,ˈɑɹtəst
artwork,ˈɑɹtˌwɝk
asbestosis,ˌæsˌbɛsˈtoʊsəs
ascendant,əˈsɛndənt
ascension,əˈsɛnʃən
ascent,əˈsɛnt
ascot,ˈæsˌkɑt
ash,ˈæʃ
ashtray,ˈæʃˌtɹeɪ
aside,əˈsaɪd
asp,ˈæsp
asparagus,əˈspɛɹəɡəs
aspartame,ˈæspɝˌteɪm
aspect,ˈæsˌpɛkt
aspen,ˈæspən
asperity,əˈspɛɹɪti
aspersion,əˈspɝʒən
asphalt,ˈæsˌfɔɫt
aspirant,ˈæspɝənt
aspirate,ˈæspɝˌeɪt
aspiration,ˌæspɝˈeɪʃən
ass,ˈæs
assassin,əˈsæsən
assassination,əˌsæsəˈneɪʃən
assault,əˈsɔɫt
assay,ˈæsi
assayer,æˈseɪɝ
assembler,əˈsɛmbɫɝ
assembly,əˈsɛmbɫi
assemblyman,əˈsɛmbɫiˌmæn
assemblywoman,əˈsɛmbɫiˌwʊmən
assent,əˈsɛnt
assertion,əˈsɝʃən
assertiveness,əˈsɝtɪvnəs
assessment,əˈsɛsmənt
asset,ˈæˌsɛt
assets,ˈæˌsɛts
