abandoned,əˈbændənd
aphrodisiac,ˌæfɹoʊˈdiziæk
apical,ˈæpɪkəɫ
apocalyptic,əˌpɑkəˈɫɪptɪk
apocryphal,əˈpɑkɹəfəɫ
apolitical,ˌeɪpəˈɫɪtɪkəɫ
apologetic,əˌpɑɫəˈdʒɛtɪk
apoplectic,ˌæpəˈpɫɛktɪk
apostolic,ˌæpəˈstɔɫɪk
appalling,əˈpɔɫɪŋ
apparent,əˈpɛɹənt
appealable,əˈpiɫəbəɫ
appealing,əˈpiɫɪŋ
appeasing,əˈpizɪŋ
appellate,əˈpɛˌɫeɪt
appetizing,ˈæpɪˌtaɪzɪŋ
applicable,ˈæpɫəkəbəɫ
appointed,əˈpɔɪntɪd
appointive,əˈpɔɪntɪv
apportioned,əˈpɔɹʃənd
appraising,əˈpɹeɪzɪŋ
appreciable,əˈpɹiʃəbəɫ
appreciated,əˈpɹiʃiˌeɪtɪd
appreciative,əˈpɹiʃiˌeɪtɪv
apprehensive,ˌæpɹiˈhɛnsɪv
approachable,əˈpɹoʊtʃəbəɫ
approaching,əˈpɹoʊtʃɪŋ
appropriate,əˈpɹoʊpɹiˌeɪt
approved,əˈpɹuvd
approximate,əˈpɹɑksəˌmeɪt
apropos,ˌæpɹəˈpoʊ
apt,ˈæpt
aquatic,əˈkwætɪk
aqueous,ˈeɪkwiəs
arable,ˈæɹəbəɫ
arbitrary,ˈɑɹbəˌtɹɛɹi
arboreal,ɑɹˈbɔɹiəɫ
arch,ˈɑɹtʃ
archaeological,ˌɑɹkiəˈɫɑdʒɪkəɫ
archaic,ɑɹˈkeɪɪk
arched,ˈɑɹtʃt
architectural,ˌɑɹkəˈtɛktʃɝəɫ
archival,ɑɹˈkaɪvəɫ
arctic,ˈɑɹktɪk
ardent,ˈɑɹdənt
arduous,ˈɑɹdʒuəs
argent,ˈɑɹdʒɪnt
arguable,ˈɑɹɡjuəbəɫ
argumentative,ˌɑɹɡjəˈmɛntətɪv
arid,ˈæɹəd
aristocratic,ɝˌɪstəˈkɹætɪk
armed,ˈɑɹmd
armored,ˈɑɹmɝd
aromatic,ˌɛɹəˈmætɪk
aroused,ɝˈaʊzd
arranged,ɝˈeɪndʒd
arrant,ˈæɹənt
arrayed,ɝˈeɪd
arrested,ɝˈɛstɪd
arresting,ɝˈɛstɪŋ
arrogant,ˈɛɹəɡənt
arterial,ɑɹˈtɪɹiəɫ
artesian,ˌɑɹˈtiʒən
artful,ˈɑɹtfəɫ
arthritic,ɑɹˈθɹɪtɪk
articular,ɑɹˈtɪkjəˌɫɝ
articulate,ɑɹˈtɪkjəˌɫeɪt
articulated,ɑɹˈtɪkjəˌɫeɪtɪd
articulatory,ɑɹˈtɪkjəɫəˌtɔɹi
artificial,ˌɑɹtəˈfɪʃəɫ
artiodactyl,ˌɑɹtioʊˈdæktəɫ
artistic,ɑɹˈtɪstɪk
arty,ˈɑɹti
ascendant,əˈsɛndənt
ascending,əˈsɛndɪŋ
ascertained,ˌæsɝˈteɪnd
ascetic,əˈsɛtɪk
asexual,eɪˈsɛksjuəɫ
ashamed,əˈʃeɪmd
ashen,ˈæʃən
asinine,ˈæsəˌnaɪn
askance,əˈskæns
askew,əˈskju
asleep,əˈsɫip
asphyxiated,æsˈfɪksiˌeɪtɪd
asphyxiating,æsˈfɪksiˌeɪtɪŋ
aspirant,ˈæspɝənt
assassinated,əˈsæsəˌneɪtɪd
assaultive,əˈsɔɫtɪv
asserted,əˈsɝtɪd
assertive,əˈsɝtɪv
assiduous,əˈsɪdwəs
assisted,əˈsɪstɪd
associate,əˈsoʊsiˌeɪt
associated,əˈsoʊsiˌeɪtɪd
associative,əˈsoʊʃəˌtɪv
assorted,əˈsɔɹtɪd
assumed,əˈsumd
assured,əˈʃʊɹd
assuring,əˈʃʊɹɪŋ
asteroid,ˈæstɝˌɔɪd
asthmatic,æzˈmætɪk
astonishing,əˈstɑnɪʃɪŋ
astounding,əˈstaʊndɪŋ
astringent,əˈstɹɪndʒənt
astrological,ˌæstɹəˈɫɑdʒɪkəɫ
astronautic,ˌæstɹəˈnɑtɪk
astute,əˈstut
asunder,əˈsəndɝ
asymmetrical,ˌeɪsəˈmɛtɹɪkəɫ
asymptomatic,ˌeɪˌsɪmptəˈmætɪk
asymptotic,ˈæsɪmpˌtɔtɪk
asynchronous,ˈeɪˈsɪŋkɹənəs
atavistic,ˈætəvɪstɪk
atheist,ˈeɪθiəst
atheistic,ˌeɪθiˈɪstɪk
athletic,æθˈɫɛtɪk
atmospheric,ˌætməsˈfɛɹɪk
atomic,əˈtɑmɪk
atonal,eɪˈtoʊnəɫ
atrocious,əˈtɹoʊʃəs
atrophied,ˈætɹəfid
attached,əˈtætʃt
attainable,əˈteɪnəbəɫ
attained,əˈteɪnd
attempted,əˈtɛmptɪd
attended,əˈtɛndɪd
attentive,əˈtɛntɪv
attitudinal,ˌætəˈtudənəɫ
attractive,əˈtɹæktɪv
attributable,əˈtɹɪbjətəbəɫ
atypical,ˌeɪˈtɪpɪkəɫ
auburn,ˈɑbɝn
audacious,ɑˈdeɪʃəs
audible,ˈɑdəbəɫ
audiovisual,ˌɔdioʊˈvɪʒuəɫ
auditory,ˈɔdɪˌtɔɹi
august,ˈɑɡəst
auld,ˈɔɫd
aural,ˈɔɹəɫ
auroral,ɝˈɔɹəɫ
auspicious,ɑˈspɪʃəs
austere,ɔˈstɪɹ
austral,ˈɔstɹəɫ
australopithecine,ɔˌstɹeɪɫoʊˈpɪθəˌsaɪn
authentic,əˈθɛnɪk
authoritarian,əˌθɔɹəˈtɛɹiən
authoritative,əˈθɔɹəˌteɪtɪv
authorized,ˈɔθɝˌaɪzd
autistic,ɔˈtɪstɪk
autobiographical,ˌɔtəˌbaɪəˈɡɹæfɪkəɫ
autocratic,ˌɔtəˈkɹætɪk
autographed,ˈɔtəˌɡɹæft
autoimmune,ˌɔˈtɔɪmjun
automated,ˈɔtəˌmeɪtɪd
automatic,ˌɔtəˈmætɪk
automotive,ˌɔtəˈmoʊtɪv
autonomic,ˌɔtəˈnɑmɪk
autonomous,ɔˈtɑnəməs
autotrophic,ˌɔtəˈtɹoʊfɪk
autumnal,ɔˈtəmnəɫ
auxiliary,ɑɡˈzɪɫiɛɹi
available,əˈveɪɫəbəɫ
avenged,əˈvɛndʒd
average,ˈævɝɪdʒ
aversive,əˈvɝsəv
avian,ˈeɪviən
avionic,ˌeɪviˈɑnɪk
avocado,ˌævəˈkɑdoʊ
avowed,əˈvaʊd
avuncular,əˈvəŋkjəɫɝ
awake,əˈweɪk
awakened,əˈweɪkənd
aware,əˈwɛɹ
away,əˈweɪ
awed,ˈɔd
awful,ˈɑfəɫ
awkward,ˈɑkwɝd
axial,ˈæksiəɫ
axiomatic,ˌæksiəˈmætɪk
azure,ˈæʒɝ
babyish,ˈbeɪbiɪʃ
back,ˈbæk
backed,ˈbækt
backhand,ˈbækˌhænd
backhanded,ˈbækˌhændɪd
backless,ˈbækɫəs
backward,ˈbækwɝd
bacterial,bækˈtɪɹiəɫ
bad,ˈbæd
baffled,ˈbæfəɫd
baffling,ˈbæfəɫɪŋ
baggy,ˈbæɡi
baked,ˈbeɪkt
baking,ˈbeɪkɪŋ
bald,ˈbɔɫd
balding,ˈbɔɫdɪŋ
baleful,ˈbeɪɫfəɫ
balking,ˈbɔkɪŋ
ballistic,bəˈɫɪstɪk
bally,ˈbæɫi
balmy,ˈbɑmi
balsamic,ˌbɑɫˈsɑmɪk
banal,bəˈnɑɫ
bandaged,ˈbændədʒd
banded,ˈbændɪd
bankable,ˈbæŋkəbəɫ
bankrupt,ˈbæŋkɹəpt
banned,ˈbænd
banner,ˈbænɝ
bantam,ˈbæntəm
baptismal,bæpˈtɪzməɫ
baptized,ˈbæpˌtaɪzd
barbarian,bɑɹˈbɛɹiən
barbaric,bɑɹˈbæɹɪk
barbarous,ˈbɑɹbɝəs
barbecued,ˈbɑɹbɪkˌjud
barbed,ˈbɑɹbd
bare,ˈbɛɹ
barefoot,ˈbɛɹˌfʊt
baritone,ˈbɛɹəˌtoʊn
barometric,ˌbæɹəˈmɛtɹɪk
baroque,bɝˈoʊk
barreled,ˈbæɹəɫd
barricaded,ˈbæɹəˌkeɪdɪd
basal,ˈbeɪsəɫ
base,ˈbeɪs
based,ˈbeɪst
baseless,ˈbeɪsɫəs
bashful,ˈbæʃfəɫ
basic,ˈbeɪsɪk
basophilic,ˌbeɪsɔˈfɪɫɪk
bass,ˈbæs
battered,ˈbætɝd
bawdy,ˈbɔdi
bay,ˈbeɪ
beaded,ˈbidɪd
beady,ˈbidi
beaklike,ˈbiˌkɫaɪk
beaming,ˈbimɪŋ
beamish,ˈbimɪʃ
bearable,ˈbɛɹəbəɫ
bearded,ˈbɪɹdəd
bearing,ˈbɛɹɪŋ
bearish,ˈbɛɹɪʃ
beastly,ˈbistˌɫi
beaten,ˈbitən
beatified,biˈætəˌfaɪd
beautiful,ˈbjutəfəɫ
becalmed,bɪˈkɑmd
becoming,bɪˈkəmɪŋ
bedded,ˈbɛdɪd
bedraggled,bɪˈdɹæɡəɫd
beefy,ˈbifi
beery,ˈbɪɹi
beetle,ˈbitəɫ
befitting,bɪˈfɪtɪŋ
begotten,biˈɡɔtɪn
beguiling,bɪˈɡaɪɫɪŋ
behavioral,biˈheɪvjɝəɫ
beheaded,bɪˈhɛdɪd
behind,bɪˈhaɪnd
beholden,bɪˈhoʊɫdən
beige,ˈbeɪʒ
belated,bɪˈɫeɪtɪd
bellied,ˈbɛɫid
beloved,bɪˈɫəvd
belted,ˈbɛɫtəd
bemused,bɪmˈjuzd
bended,ˈbɛndɪd
beneficent,ˌbɛnəˈfɪʃənt
beneficial,ˌbɛnəˈfɪʃəɫ
beneficiary,ˌbɛnəˈfɪʃiˌɛɹi
benevolent,bəˈnɛvəɫənt
benighted,bɪˈnaɪtɪd
benign,bɪˈnaɪn
bent,ˈbɛnt
bereaved,bɝˈivd
bereft,bɝˈɛft
beseeching,biˈsitʃɪŋ
besieged,bɪˈsidʒd
besotted,bɪˈsɔtɪd
bespectacled,bɪˈspɛktəkəɫd
bespoke,bʊˈspoʊk
best,ˈbɛst
beta,ˈbeɪtə
better,ˈbɛtɝ
bewildering,bɪˈwɪɫdɝɪŋ
bias,ˈbaɪəs
biased,ˈbaɪəst
biaxial,baɪˈæksiəɫ
biblical,ˈbɪbɫəkəɫ
bibliographic,ˌbɪbɫiˈɑˌɡɹɑfɪk
bicentennial,ˌbaɪsɛnˈtɛniəɫ
bicuspid,baɪˈkəspəd
bidirectional,ˈbɪdɝˈɛkʃənəɫ
biennial,baɪˈɛniəɫ
bifocal,ˈbaɪfoʊkəɫ
bifurcate,ˈbaɪfɝˌkeɪt
bifurcated,ˈbaɪfɝˌkeɪtɪd
big,ˈbɪɡ
bigger,ˈbɪɡɝ
bigoted,ˈbɪɡətɪd
bilateral,baɪˈɫætɝəɫ
bilingual,baɪˈɫɪŋɡwəɫ
bilious,ˈbɪɫiəs
billed,ˈbɪɫd
billiard,ˈbɪɫjɝd
billion,ˈbɪɫjən
billionth,ˈbɪɫjənθ
bimodal,ˌbaɪˈmoʊdəɫ
binary,ˈbaɪnɝi
binding,ˈbaɪndɪŋ
binocular,bəˈnɑkjəɫɝ
binomial,baɪˈnoʊmiəɫ
biochemical,ˌbaɪoʊˈkɛməkəɫ
biodegradable,ˌbaɪoʊdəˈɡɹeɪdəbəɫ
biological,ˌbaɪəˈɫɑdʒɪkəɫ
biomedical,ˌbaɪoʊˈmɛdɪkəɫ
bionic,ˌbaɪˈɔnɪk
bipartisan,baɪˈpɑɹtɪsən
bipolar,baɪˈpoʊɫɝ
biracial,baɪˈɹeɪʃəɫ
birch,ˈbɝtʃ
bisexual,ˌbaɪˈsɛkʃuəɫ
bitchy,ˈbɪtʃi
bitter,ˈbɪtɝ
bittersweet,ˈbɪtɝˌswit
bitty,ˈbɪti
bituminous,bɪˈtumənəs
bivalve,ˈbaɪˌvæɫv
bizarre,bəˈzɑɹ
black,ˈbɫæk
bladed,ˈbɫeɪdɪd
blameless,ˈbɫeɪmɫəs
bland,ˈbɫænd
blank,ˈbɫæŋk
blanketed,ˈbɫæŋkətɪd
blaring,ˈbɫɛɹɪŋ
blase,ˈbɫeɪz
blasphemous,ˈbɫæsfəməs
blasted,ˈbɫæstəd
blasting,ˈbɫæstɪŋ
blatant,ˈbɫeɪtənt
blazing,ˈbɫeɪzɪŋ
bleached,ˈbɫitʃt
bleak,ˈbɫik
bleary,ˈbɫɪɹi
blemished,ˈbɫɛmɪʃt
blended,ˈbɫɛndɪd
blending,ˈbɫɛndɪŋ
blessed,ˈbɫɛst
blighted,ˈbɫaɪtɪd
blind,ˈbɫaɪnd
blinded,ˈbɫaɪndɪd
blindfold,ˈbɫaɪndˌfoʊɫd
blinking,ˈbɫɪŋkɪŋ
blissful,ˈbɫɪsfəɫ
blithe,ˈbɫaɪð
blockading,ˌbɫɑˈkeɪdɪŋ
blocked,ˈbɫɑkt
blond,ˈbɫɑnd
bloodless,ˈbɫədɫəs
bloodstained,ˈbɫədˌsteɪnd
bloodsucking,ˈbɫədˌsəkɪŋ
bloodthirsty,ˈbɫədˌθɝsti
bloody,ˈbɫədi
blotched,ˈbɫɑttʃt
blown,ˈbɫoʊn
blowy,ˈbɫoʊi
blue,ˈbɫu
bluff,ˈbɫəf
blunt,ˈbɫənt
blunted,ˈbɫəntəd
blurred,ˈbɫɝd
blustering,ˈbɫəstɝɪŋ
blustery,ˈbɫəstɝi
boastful,ˈboʊstfəɫ
bodied,ˈbɑdid
bodily,ˈbɑdəɫi
boffo,ˈbɔfoʊ
bohemian,boʊˈhimiən
boiled,ˈbɔɪɫd
boisterous,ˈbɔɪstɝəs
bold,ˈboʊɫd
bombastic,bɑmˈbæstɪk
bone,ˈboʊn
boned,ˈboʊnd
boneless,ˈboʊnɫəs
bonny,ˈbɑni
booked,ˈbʊkt
bookish,ˈbʊkɪʃ
booming,ˈbumɪŋ
boon,ˈbun
boorish,ˈbʊɹɪʃ
booted,ˈbutɪd
bootleg,ˈbutˌɫɛɡ
bordered,ˈbɔɹdɝd
borderline,ˈbɔɹdɝˌɫaɪn
bored,ˈbɔɹd
boric,ˈbɔɹɪk
boring,ˈbɔɹɪŋ
born,ˈbɔɹn
boss,ˈbɑs
botanic,bəˈtænɪk
both,ˈboʊθ
bothered,ˈbɑðɝd
bottom,ˈbɑtəm
bottomed,ˈbɑtəmd
bottomless,ˈbɑtəmɫəs
boughten,ˈbɔtən
bouncing,ˈbaʊnsɪŋ
bound,ˈbaʊnd
bourgeois,ˈbʊɹʒwɑ
bovine,ˈboʊˌvaɪn
bowed,ˈbaʊd
bowery,ˈbaʊɝi
boxed,ˈbɑkst
boyish,ˈbɔɪɪʃ
braced,ˈbɹeɪst
brachiopod,ˈbɹeɪkiəˌpɑd
bracing,ˈbɹeɪsɪŋ
brackish,ˈbɹækɪʃ
braided,ˈbɹeɪdɪd
brainless,ˈbɹeɪnɫɪs
brainwashed,ˈbɹeɪnˌwɑʃt
brainy,ˈbɹeɪni
braised,ˈbɹeɪzd
branched,ˈbɹæntʃt
branching,ˈbɹæntʃɪŋ
branded,ˈbɹændɪd
brash,ˈbɹæʃ
brassy,ˈbɹæsi
brave,ˈbɹeɪv
brawny,ˈbɹɔni
brazen,ˈbɹeɪzən
breakable,ˈbɹeɪkəbəɫ
breakaway,ˈbɹeɪkəˌweɪ
breakneck,ˈbɹeɪkˌnɛk
breathed,ˈbɹiðd
breathing,ˈbɹiðɪŋ
breathless,ˈbɹɛθɫəs
